A,B,C,D
1,17,23.02,1.24
2,8,28.01,-7.65
3,22,33.14,6.21
4,26,38.26,10.16
5,26,42.99,10.33
6,27,48.33,10.99
7,15,53.17,-0.8
8,21,58.29,5.04
9,17,63.12,1.21
10,3,68.2,-12.69
11,29,73.29,13.28
12,15,78.37,-0.69
13,12,83.11,-3.92
14,28,88.37,12.28
15,6,93.15,-9.79
16,1,98.34,-14.84
17,34,103.01,18.27
18,16,108.22,0.1
19,14,113.32,-1.84
20,38,118.35,22.3
21,31,123.25,15.22
22,21,128.32,5.21
23,7,133.37,-8.65
24,17,138.25,1.26
25,7,143.31,-8.64
26,30,148.24,14.32
27,0,153.18,-15.64
28,21,158.26,5.12
29,25,163,8.98
30,3,168.3,-12.64
31,35,173.22,19.15
32,11,178.35,-4.91
33,27,183.34,11.08
34,16,188.11,0.27
35,4,193.1,-11.88
36,34,198.32,17.98
37,21,203.24,5.1
38,11,208.37,-5.02
39,17,213.22,1.33
40,18,218.17,2.25
41,16,223.13,0.01
42,33,228.16,17.31
43,36,233.03,20.27
44,39,238.19,23.33
45,28,243.16,12.37
46,35,248.1,19.32
47,35,253.23,19.1
48,0,258.34,-15.9
49,32,263.12,16.26
50,27,268.3,11.06
51,7,272.98,-8.87
52,2,278.23,-13.69
53,27,283.19,11.29
54,9,288.1,-6.9
55,36,293.31,20.28
56,35,298.26,19.33
57,21,303.13,5.18
58,34,308.13,18.15
59,38,313.06,22.21
60,26,318.25,10.05
61,26,323.24,10.37
62,33,328.19,17.22
63,19,332.98,3.35
64,10,338.07,-5.92
65,22,343.03,6.33
66,5,347.99,-10.79
67,0,353.12,-15.64
68,20,358.06,4.04
69,29,363.36,13.12
70,4,368.15,-11.69
71,11,374,-4.99
72,12,378,-3.73
73,33,383.24,17.06
74,33,388.14,17.16
75,35,393.16,19.3
76,32,398.11,16.35
77,25,403.26,9.27
78,0,408.24,-15.92
79,0,413.3,-15.71
80,39,418.36,23.34
81,16,423.3,0.37
82,11,428.02,-5
83,0,433.27,-15.82
84,0,438.12,-15.66
85,10,443.07,-5.88
86,3,448.32,-12.83
87,32,453.17,16.05
88,22,458.09,6.24
89,24,463.1,8.08
90,15,468.09,-0.93
91,3,473.17,-12.69
92,35,478.28,19.27
93,29,483.21,13.08
94,9,488.21,-6.78
95,38,493.32,22.24
96,4,498.27,-11.82
97,24,503.19,8.29
98,23,508.33,7.01
99,9,513.17,-6.95
100,20,518.25,4.16
