A,B,C,D
1,14,22.98,-1.87
2,7,28.06,-8.99
3,4,33.06,-11.85
4,0,38.13,-15.89
5,38,43.11,22.12
6,1,48.11,-14.69
7,38,53.2,22.22
8,3,58.3,-12.74
9,36,63.25,20.22
10,30,68.33,14.02
11,16,73.08,0.34
12,23,78.07,7.03
13,27,83.03,11.03
14,36,88.03,20.1
15,1,93.33,-14.76
16,15,98.27,-0.71
17,1,103.17,-14.97
18,17,108.2,1.28
19,37,113.08,21.15
20,13,117.98,-2.97
21,9,123.06,-6.95
22,6,128.3,-9.86
23,3,133.09,-12.81
24,8,138.05,-7.84
25,21,142.99,5.03
26,39,148.06,23.24
27,22,152.99,6.03
28,28,158.16,12.17
29,18,163.05,2.27
30,27,168.18,11.19
31,24,173.28,8.28
32,31,178.26,15.2
33,39,183.29,23.31
34,12,188.29,-3.7
35,30,193.1,14.31
36,28,198.01,12.32
37,14,203.24,-1.67
38,20,208.04,4.04
39,31,213.14,15.11
40,21,218.33,5.24
41,2,223.18,-13.94
42,24,228.09,8.34
43,6,233.09,-9.83
44,31,238.13,15.08
45,16,243.04,0.13
46,1,248.24,-14.84
47,35,252.98,19.34
48,31,258.1,15.32
49,37,263.02,21.08
50,2,268.23,-13.96
51,28,273.17,12.16
52,28,278.02,12.27
53,16,283,0.3
54,35,288.24,18.98
55,38,293,22.36
56,13,298.01,-2.78
57,23,303.37,7.14
58,12,308.2,-3.73
59,6,313.17,-9.77
60,17,318.11,1
61,15,323.32,-0.81
62,25,328.2,9.15
63,6,333.37,-9.9
64,31,338.24,15.36
65,31,343.14,15.3
66,29,348.27,13.25
67,13,353.03,-2.76
68,29,358.15,12.98
69,10,363.13,-5.91
70,35,368.22,19.23
71,29,373.29,13.17
72,3,378.14,-12.69
73,20,383.21,4.3
74,24,388.12,8.09
75,22,393.03,6.25
76,6,398.24,-9.93
77,34,403.37,18.04
78,12,408.18,-3.87
79,13,413.29,-2.72
80,24,418.16,8.13
81,9,423.06,-6.64
82,20,428.09,4.13
83,14,433.21,-1.64
84,38,438.06,22.02
85,9,443.2,-7.01
86,29,448.27,13.25
87,30,453.21,14.24
88,36,458.33,20.36
89,11,463.06,-4.73
90,33,468.31,16.98
91,0,473.32,-15.94
92,39,478.05,23.09
93,14,483.19,-1.68
94,4,488.09,-11.68
95,8,493.11,-7.85
96,9,498,-6.96
97,28,503.22,12.27
98,6,508.18,-9.78
99,4,513.21,-11.77
100,26,518.14,10.08
