A,B,C,D,E,F
0,48.34,5,51.3,72.8282,65.5748
33,279.28,28,465.28,-1.25864,-1.55429
35,293.12,38,645.06,27.7766,42.7722
24,216.14,37,627.17,-28.7178,-4.03602
7,97.24,31,519.53,-20.0739,-22.2943
35,292.99,22,357.37,-26.2129,-18.3544
37,307.18,24,393.35,57.0244,29.0554
14,146.16,38,645.41,-8.13475,-18.2709
28,244.34,39,663.42,56.7831,4.96787
18,174.33,37,627.38,10.9625,4.88084
7,97.16,33,555.06,12.6089,28.3199
10,118.18,2,-2.89,32.3325,21.8085
28,244.02,30,501.03,15.7335,38.9417
8,104.47,0,-38.64,87.7004,39.0467
29,251.23,25,411.15,-16.5808,-11.1838
37,307.04,28,465.07,-28.0558,-57.5228
4,76.35,0,-38.97,74.4296,54.0762
37,307.18,29,483.45,18.8959,1.98604
11,125.56,13,195.4,-55.7252,-27.179
32,272.16,8,105.26,-22.4105,-5.17387
18,174.51,7,87.55,67.987,36.1493
37,307.18,2,-2.53,-25.8022,-31.863
33,279.34,39,663.39,17.3665,17.9835
25,223.45,30,501.28,57.4402,41.7327
32,272.2,0,-38.71,-7.96956,-0.697245
32,272.19,16,249.56,-21.1968,-33.9219
35,293.26,6,69.34,-27.6935,-54.3514
15,153.22,35,591.24,-7.08032,-10.9027
38,314.42,32,536.97,72.2803,23.4853
1,54.97,38,645.51,65.761,65.7609
16,160.42,24,393.49,43.7783,72.8592
18,174.37,5,51.41,-3.76223,-10.3366
2,62.53,30,501.46,41.7227,10.4026
13,139.38,6,69.42,48.1831,39.0178
0,48.52,15,231.35,0.920505,0.390731
0,48.34,33,555.41,-40.1504,-57.3406
20,188.05,22,357.03,30.565,31.6509
23,209.36,8,105.42,-8.13475,-18.2709
26,230.11,5,51.3,-23.0041,-43.2644
7,97.49,34,573.19,-96.1995,-18.6993
30,258.2,5,51.53,-0.866026,-0.5
18,174.37,35,590.98,69.4985,35.4112
32,272.18,31,519.49,-53.7042,-5.64453
16,160.49,37,626.98,-48.7862,-67.1484
20,188.42,13,195.43,-20.681,-3.64661
22,202.39,10,141.25,-49.4975,-49.4974
15,153.05,30,501.2,-90.6537,-7.93117
15,153.31,1,-20.77,-71.8019,-17.9022
29,251.51,23,375.44,-52.7097,-5.54
28,244.36,18,285.38,-54.9927,-49.5156
16,160.37,39,663.16,35.0698,71.9035
9,111.45,30,501.48,-19.0191,-66.327
31,265.35,33,555.21,21.3842,10.8958
23,209.22,38,645.55,-82.1551,-31.5364
39,320.97,25,411.34,-56.1123,-18.232
27,237.27,36,609.15,-60.8589,-36.5677
0,48.27,4,33.47,40.1041,8.52437
29,251.41,25,411.12,84.591,24.2561
19,181.2,7,87.34,-71.2147,-68.7711
23,209.18,12,176.98,-30.7819,-84.5723
36,300.46,7,87.09,23.4828,15.2499
9,110.97,18,285.42,81.5508,8.57133
25,223.2,35,591.47,74.1824,24.1033
24,216.34,26,429.48,-19.0179,-40.7838
