A,B,C,D
1,39,42.21,668.29
2,20,48.07,326.14
3,13,54,200.29
4,3,60.19,20.18
5,1,66.12,-15.99
6,20,72.37,326.23
7,7,78.11,92.36
8,38,84.11,650.11
9,19,90.21,308.19
10,16,96.28,254.36
11,24,102.27,398.11
12,16,107.99,254.2
13,32,114.12,542.23
14,24,120.08,398.36
15,4,126.09,38.11
16,0,132.3,-33.98
17,25,138.29,416.16
18,15,144.19,236.21
19,20,150.31,326.04
20,1,156.07,-15.66
21,32,162.32,542.15
22,5,168.08,56.17
23,20,174.32,326.23
24,37,180.16,632.33
25,35,186.13,596.37
26,0,192.13,-33.79
27,5,198.3,56.12
28,15,204.06,236.33
29,38,210.26,650.26
30,4,216.2,38.28
31,33,222.12,560.22
32,2,228.09,2.24
33,21,234.29,344.1
34,39,240.18,668.21
35,34,246.14,578.36
36,25,252.06,416.03
37,8,258.11,110.27
38,22,264.26,362.35
39,10,270.16,146.16
40,38,276.13,650.3
41,20,281.98,326.04
42,4,288,38.15
43,22,294.14,361.99
44,35,300.13,596.19
45,18,305.99,290.27
46,8,312.25,110.36
47,13,318.25,200.09
48,34,324,578.3
49,32,330.1,542
50,2,336,2.15
51,34,342.21,578.15
52,32,348.17,542.1
53,9,354,128.26
54,10,360.27,146.01
55,24,366.05,398.34
56,13,372.05,200.21
57,11,378.1,164.09
58,15,384.04,236.11
59,39,390.36,668.15
60,1,396.3,-15.83
61,11,402.16,164.32
62,20,408.08,326.12
63,32,414.1,542.06
64,12,420.12,182.35
65,15,426.36,236.34
66,4,432.1,38.01
67,27,438.13,452.13
68,30,444.28,506.19
69,35,450.27,596.1
70,12,456.21,182.34
71,24,462.32,398.13
72,18,468.04,290.15
73,24,474.29,398.19
74,32,480.01,542.26
75,29,486.09,488.24
76,25,492.13,416.28
77,28,498.32,470.36
78,35,504.23,596.26
79,17,510.1,272.08
80,29,516.15,488.31
81,17,521.99,272.17
82,32,528.09,542.15
83,2,534.34,2.06
84,23,540.26,380.1
85,3,546.16,20.21
86,22,552.33,362.36
87,12,558.14,182.3
88,2,564.09,2.07
89,31,570.26,524.2
90,33,576.07,560.29
91,26,582.25,434.22
92,37,588.09,632.33
93,14,594.11,218.21
94,23,600.27,380.1
95,35,606.22,596.2
96,10,612.04,146.07
97,0,618.09,-33.77
98,24,624.11,398.35
99,34,630.02,578.15
100,8,636.35,110.17
